IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
4009a0,rdx,19121042,9714,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,7.99257,49.25373134328358,50.74626865671642
400990,r12,19126331,1261,masked,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",1,0,7.994785,49.25373134328358,50.74626865671642
400978,rdi,19178912,6992,masked,<_Z8BFSGraphiPPc>,mov,"mov, 0x201701(%rip),%rdi",1,0,8.016805,49.75124378109453,50.24875621890547
400984,rsi,19207943,10179,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,8.028963,49.75124378109453,50.24875621890547
4009a7,rsi,19209847,14155,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,8.02976,49.75124378109453,50.24875621890547
400984,rsi,19233501,109,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,8.039666,50.24875621890547,49.75124378109453
400984,rsi,19244070,12441,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,8.044092,50.24875621890547,49.75124378109453
4009b1,rcx,19254022,2856,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x8(%rsp),%rcx",0,1,8.04826,50.24875621890547,49.75124378109453
400989,rax,19256330,1448,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,8.049227,50.24875621890547,49.75124378109453
400990,r12,19258866,14429,masked,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",1,0,8.050289,49.75124378109453,50.24875621890547
4009c1,rflags,19277997,5941,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,8.0583,49.75124378109453,50.24875621890547
4009c1,rflags,19292115,5775,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,8.064213,49.25373134328358,50.74626865671642
400978,rdi,19300553,11673,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x201701(%rip),%rdi",0,1,8.067747,49.25373134328358,50.74626865671642
40097f,rdx,19314243,3787,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x38(%rsp),%rdx",0,1,8.07348,49.25373134328358,50.74626865671642
400984,rsi,19323071,1564,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,8.077177,49.25373134328358,50.74626865671642
400989,rax,19328844,6931,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,8.079595,49.25373134328358,50.74626865671642
4009ba,rcx,19370062,8316,crash,<_Z8BFSGraphiPPc>,add,"add, $0x4,%rcx",0,1,8.096856,48.756218905472636,51.243781094527364
4009ba,rcx,19377485,8361,masked,<_Z8BFSGraphiPPc>,add,"add, $0x4,%rcx",1,0,8.099965,48.25870646766169,51.74129353233831
4009c1,rflags,19411039,5214,masked,<_Z8BFSGraphiPPc>,cmp,"cmp, %r12d,0x28(%rsp)",1,0,8.114017,47.76119402985075,52.23880597014925
400984,rsi,19413343,41,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",1,0,8.114982,47.76119402985075,52.23880597014925
400984,rsi,19424965,8402,masked,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",1,0,8.119849,47.76119402985075,52.23880597014925
4009b6,rax,19425350,6527,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x38(%rsp),%eax",0,1,8.12001,47.76119402985075,52.23880597014925
400990,r12,19432442,4157,masked,<_Z8BFSGraphiPPc>,add,"add, $0x1,%r12d",1,0,8.12298,47.76119402985075,52.23880597014925
4009ba,rcx,19491976,11143,crash,<_Z8BFSGraphiPPc>,add,"add, $0x4,%rcx",0,1,8.147912,47.76119402985075,52.23880597014925
400989,rax,19505618,2401,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,8.153625,47.76119402985075,52.23880597014925
400978,rdi,19505784,13076,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x201701(%rip),%rdi",0,1,8.153695,47.76119402985075,52.23880597014925
4009a5,rax,19548431,11739,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,8.171555,47.76119402985075,52.23880597014925
4009a7,rsi,19548471,7979,crash,<_Z8BFSGraphiPPc>,mov,"mov, $0x400ca3,%esi",0,1,8.171571,48.25870646766169,51.74129353233831
400999,rdi,19556580,1911,crash,<_Z8BFSGraphiPPc>,mov,"mov, 0x2016e0(%rip),%rdi",0,1,8.174967,48.25870646766169,51.74129353233831
4009a5,rax,19600964,732,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,8.193555,48.756218905472636,51.243781094527364
4009a0,rdx,19626664,11267,crash,<_Z8BFSGraphiPPc>,lea,"lea, 0x3c(%rsp),%rdx",0,1,8.204318,48.756218905472636,51.243781094527364
400989,rax,19633395,8146,masked,<_Z8BFSGraphiPPc>,xor,"xor, %eax,%eax",1,0,8.207136,48.25870646766169,51.74129353233831
