IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
400cc2,xmm0,57051718,2045,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",1,0,27.846544,62.18905472636816,37.81094527363184
400ff5,rflags,57356071,2131,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,27.99518,62.18905472636816,37.81094527363184
400ff1,rbp,57458999,2759,masked,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",1,0,28.045447,62.18905472636816,37.81094527363184
400ff5,r8,57503904,1132,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,28.067377,62.6865671641791,37.3134328358209
4012e7,rcx,57616103,3283,crash,<bpnn_create>,add,"add, $0x1,%rcx",0,1,28.122171,63.18407960199005,36.81592039800995
400ccc,rax,57640498,1110,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",1,0,28.134085,62.6865671641791,37.3134328358209
400cc2,rdx,57662702,1665,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",1,0,28.144929,62.6865671641791,37.3134328358209
400ff8,rflags,57738927,125,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,28.182155,62.6865671641791,37.3134328358209
400cd0,rax,57881196,2069,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,28.251634,62.6865671641791,37.3134328358209
400fe4,rcx,57921940,800,crash,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",0,1,28.271532,62.6865671641791,37.3134328358209
400ff5,rcx,58082460,1065,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,28.349925,63.18407960199005,36.81592039800995
400ff8,xmm0,58203414,2701,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,28.408995,62.6865671641791,37.3134328358209
400dac,rcx,58247690,553,masked,<bpnn_layerforward._omp_fn.0>,addss,"addss, %xmm0,%xmm1",1,0,28.430617,62.6865671641791,37.3134328358209
40120d,rflags,58373915,116,masked,<bpnn_free>,add,"add, $0x1,%rbp",1,0,28.492262,63.18407960199005,36.81592039800995
400daa,xmm0,58402966,2732,masked,<bpnn_layerforward._omp_fn.0>,cmp,"cmp, %eax,%ecx",1,0,28.506449,63.681592039801,36.318407960199
400dac,rflags,58456955,1805,masked,<bpnn_layerforward._omp_fn.0>,addss,"addss, %xmm0,%xmm1",1,0,28.532816,63.18407960199005,36.81592039800995
4012eb,rcx,58460878,2841,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,28.534731,63.18407960199005,36.81592039800995
400cbe,xmm0,58472216,1222,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r9,%rax,8),%rdx",1,0,28.540268,63.18407960199005,36.81592039800995
4012e7,rbx,58526284,1005,masked,<bpnn_create>,add,"add, $0x1,%rcx",1,0,28.566673,63.18407960199005,36.81592039800995
400ff1,rdx,58536520,2302,crash,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",0,1,28.571672,63.18407960199005,36.81592039800995
