IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%
42bf0c,rsi,337483013,417,masked,<HPL_lmul>,mov,"mov, -0x1c(%rsp),%r9d",1,0,0,69.452795,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
42bed1,rsi,338721900,387,sdc,<HPL_lmul>,movzwl,"movzwl, %si,%esi",0,0,1,69.708779,26.865671641791046,8.955223880597014,64.17910447761194,91.04477611940298
42bdd2,r10,339630226,114,sdc,<HPL_ladd>,mov,"mov, (%rdi),%r10d",0,0,1,69.896461,27.36318407960199,8.457711442786069,64.17910447761194,91.54228855721394
42be02,rflags,339678587,443,sdc,<HPL_ladd>,shl,"shl, $0x10,%r9d",0,0,1,69.906454,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42be58,r10,342926536,160,sdc,<HPL_lmul>,shr,"shr, $0x10,%ecx",0,0,1,70.57756,27.36318407960199,8.955223880597014,63.681592039801,91.04477611940298
42bf24,rax,343617074,152,sdc,<HPL_lmul>,or,"or, %r9d,%r11d",0,0,1,70.720242,27.36318407960199,9.45273631840796,63.18407960199005,90.54726368159204
42be2a,rsp,350016372,444,sdc,<HPL_ladd>,movzwl,"movzwl, %r8w,%edi",0,0,1,72.042494,27.36318407960199,9.45273631840796,63.18407960199005,90.54726368159204
42be27,None,352023196,25,sdc,<HPL_ladd>,mov,"mov, %r8d,%esi",0,0,1,72.457153,27.860696517412936,9.45273631840796,62.6865671641791,90.54726368159204
42be8c,rcx,352913470,27,sdc,<HPL_lmul>,mov,"mov, -0x4(%rax),%ebx",0,0,1,72.641105,27.860696517412936,9.45273631840796,62.6865671641791,90.54726368159204
42bea8,rax,353885311,234,masked,<HPL_lmul>,shr,"shr, $0x10,%edi",1,0,0,72.841911,27.860696517412936,9.45273631840796,62.6865671641791,90.54726368159204
